Date,fng_value,fng_classification
2021/1/14,83,Extreme Greed
2021/1/15,88,Extreme Greed
2021/1/16,84,Extreme Greed
2021/1/17,79,Extreme Greed
2021/1/18,79,Extreme Greed
2021/1/19,80,Extreme Greed
2021/1/20,78,Extreme Greed
2021/1/21,75,Greed
2021/1/22,40,Fear
2021/1/23,74,Greed
2021/1/24,70,Greed
2021/1/25,74,Greed
2021/1/26,71,Greed
2021/1/27,78,Extreme Greed
2021/1/28,55,Greed
2021/1/29,77,Extreme Greed
2021/1/30,76,Extreme Greed
2021/1/31,78,Extreme Greed
2021/2/1,77,Extreme Greed
2021/2/2,76,Extreme Greed
2021/2/3,78,Extreme Greed
2021/2/4,80,Extreme Greed
2021/2/5,81,Extreme Greed
2021/2/6,84,Extreme Greed
2021/2/7,86,Extreme Greed
2021/2/8,83,Extreme Greed
2021/2/9,95,Extreme Greed
2021/2/10,92,Extreme Greed
2021/2/11,93,Extreme Greed
2021/2/12,92,Extreme Greed
2021/2/13,92,Extreme Greed
2021/2/14,95,Extreme Greed
2021/2/15,93,Extreme Greed
2021/2/16,95,Extreme Greed
2021/2/17,95,Extreme Greed
2021/2/18,91,Extreme Greed
2021/2/19,93,Extreme Greed
2021/2/20,91,Extreme Greed
2021/2/21,91,Extreme Greed
2021/2/22,94,Extreme Greed
2021/2/23,94,Extreme Greed
2021/2/24,76,Extreme Greed
2021/2/25,79,Extreme Greed
2021/2/26,55,Greed
2021/2/27,56,Greed
2021/2/28,55,Greed
2021/3/1,38,Fear
2021/3/2,78,Extreme Greed
2021/3/3,78,Extreme Greed
2021/3/4,84,Extreme Greed
2021/3/5,77,Extreme Greed
2021/3/6,77,Extreme Greed
2021/3/7,76,Extreme Greed
2021/3/8,81,Extreme Greed
2021/3/9,81,Extreme Greed
2021/3/10,68,Greed
2021/3/11,73,Greed
2021/3/12,70,Greed
2021/3/13,74,Greed
2021/3/14,78,Extreme Greed
2021/3/15,76,Extreme Greed
2021/3/16,71,Greed
2021/3/17,71,Greed
2021/3/18,72,Greed
2021/3/19,71,Greed
2021/3/20,75,Greed
2021/3/21,73,Greed
2021/3/22,70,Greed
2021/3/23,66,Greed
2021/3/24,65,Greed
2021/3/25,60,Greed
2021/3/26,54,Neutral
2021/3/27,65,Greed
2021/3/28,74,Greed
2021/3/29,72,Greed
2021/3/30,72,Greed
2021/3/31,76,Extreme Greed
2021/4/1,74,Greed
2021/4/2,74,Greed
2021/4/3,73,Greed
2021/4/4,74,Greed
2021/4/5,71,Greed
2021/4/6,75,Greed
2021/4/7,72,Greed
2021/4/8,73,Greed
2021/4/9,70,Greed
2021/4/10,70,Greed
2021/4/11,76,Extreme Greed
2021/4/12,74,Greed
2021/4/13,74,Greed
2021/4/14,75,Greed
2021/4/15,79,Extreme Greed
2021/4/16,78,Extreme Greed
2021/4/17,76,Extreme Greed
2021/4/18,79,Extreme Greed
2021/4/19,74,Greed
2021/4/20,73,Greed
2021/4/21,73,Greed
2021/4/22,65,Greed
2021/4/23,55,Greed
2021/4/24,37,Fear
2021/4/25,31,Fear
2021/4/26,27,Fear
2021/4/27,50,Neutral
2021/4/28,59,Greed
2021/4/29,52,Neutral
2021/4/30,51,Neutral
2021/5/1,68,Greed
2021/5/2,66,Greed
2021/5/3,61,Greed
2021/5/4,68,Greed
2021/5/5,48,Neutral
2021/5/6,65,Greed
2021/5/7,64,Greed
2021/5/8,67,Greed
2021/5/9,73,Greed
2021/5/10,72,Greed
2021/5/11,61,Greed
2021/5/12,68,Greed
2021/5/13,31,Fear
2021/5/14,26,Fear
2021/5/15,27,Fear
2021/5/16,20,Extreme Fear
2021/5/17,27,Fear
2021/5/18,21,Extreme Fear
2021/5/19,23,Extreme Fear
2021/5/20,11,Extreme Fear
2021/5/21,19,Extreme Fear
2021/5/22,12,Extreme Fear
2021/5/23,14,Extreme Fear
2021/5/24,10,Extreme Fear
2021/5/25,22,Extreme Fear
2021/5/26,22,Extreme Fear
2021/5/27,27,Fear
2021/5/28,21,Extreme Fear
2021/5/29,18,Extreme Fear
2021/5/30,10,Extreme Fear
2021/5/31,18,Extreme Fear
2021/6/1,20,Extreme Fear
2021/6/2,23,Extreme Fear
2021/6/3,24,Extreme Fear
2021/6/4,27,Fear
2021/6/5,24,Extreme Fear
2021/6/6,17,Extreme Fear
2021/6/7,15,Extreme Fear
2021/6/8,13,Extreme Fear
2021/6/9,14,Extreme Fear
2021/6/10,21,Extreme Fear
2021/6/11,21,Extreme Fear
2021/6/12,28,Fear
2021/6/13,23,Extreme Fear
2021/6/14,28,Fear
2021/6/15,38,Fear
2021/6/16,33,Fear
2021/6/17,26,Fear
2021/6/18,25,Extreme Fear
2021/6/19,23,Extreme Fear
2021/6/20,21,Extreme Fear
2021/6/21,23,Extreme Fear
2021/6/22,10,Extreme Fear
2021/6/23,14,Extreme Fear
2021/6/24,22,Extreme Fear
2021/6/25,27,Fear
2021/6/26,20,Extreme Fear
2021/6/27,22,Extreme Fear
2021/6/28,25,Extreme Fear
2021/6/29,25,Extreme Fear
2021/6/30,28,Fear
2021/7/1,28,Fear
2021/7/2,21,Extreme Fear
2021/7/3,24,Extreme Fear
2021/7/4,27,Fear
2021/7/5,29,Fear
2021/7/6,20,Extreme Fear
2021/7/7,28,Fear
2021/7/8,20,Extreme Fear
2021/7/9,20,Extreme Fear
2021/7/10,20,Extreme Fear
2021/7/11,20,Extreme Fear
2021/7/12,25,Extreme Fear
2021/7/13,20,Extreme Fear
2021/7/14,21,Extreme Fear
2021/7/15,20,Extreme Fear
2021/7/16,22,Extreme Fear
2021/7/17,15,Extreme Fear
2021/7/18,19,Extreme Fear
2021/7/19,24,Extreme Fear
2021/7/20,19,Extreme Fear
2021/7/21,10,Extreme Fear
2021/7/22,21,Extreme Fear
2021/7/23,23,Extreme Fear
2021/7/24,22,Extreme Fear
2021/7/25,27,Fear
2021/7/26,26,Fear
2021/7/27,32,Fear
2021/7/28,50,Neutral
2021/7/29,50,Neutral
2021/7/30,53,Neutral
2021/7/31,60,Greed
2021/8/1,60,Greed
2021/8/2,48,Neutral
2021/8/3,48,Neutral
2021/8/4,42,Fear
2021/8/5,50,Neutral
2021/8/6,52,Neutral
2021/8/7,69,Greed
2021/8/8,74,Greed
2021/8/9,65,Greed
2021/8/10,71,Greed
2021/8/11,70,Greed
2021/8/12,70,Greed
2021/8/13,70,Greed
2021/8/14,76,Extreme Greed
2021/8/15,71,Greed
2021/8/16,72,Greed
2021/8/17,72,Greed
2021/8/18,73,Greed
2021/8/19,70,Greed
2021/8/20,70,Greed
2021/8/21,78,Extreme Greed
2021/8/22,76,Extreme Greed
2021/8/23,79,Extreme Greed
2021/8/24,79,Extreme Greed
2021/8/25,73,Greed
2021/8/26,75,Greed
2021/8/27,71,Greed
2021/8/28,78,Extreme Greed
2021/8/29,72,Greed
2021/8/30,73,Greed
2021/8/31,73,Greed
2021/9/1,71,Greed
2021/9/2,74,Greed
2021/9/3,74,Greed
2021/9/4,72,Greed
2021/9/5,73,Greed
2021/9/6,79,Extreme Greed
2021/9/7,79,Extreme Greed
2021/9/8,47,Neutral
2021/9/9,45,Fear
2021/9/10,46,Fear
2021/9/11,31,Fear
2021/9/12,32,Fear
2021/9/13,44,Fear
2021/9/14,30,Fear
2021/9/15,49,Neutral
2021/9/16,53,Neutral
2021/9/17,48,Neutral
2021/9/18,50,Neutral
2021/9/19,53,Neutral
2021/9/20,50,Neutral
2021/9/21,27,Fear
2021/9/22,21,Extreme Fear
2021/9/23,27,Fear
2021/9/24,33,Fear
2021/9/25,28,Fear
2021/9/26,27,Fear
2021/9/27,26,Fear
2021/9/28,25,Extreme Fear
2021/9/29,24,Extreme Fear
2021/9/30,20,Extreme Fear
2021/10/1,27,Fear
2021/10/2,54,Neutral
2021/10/3,49,Neutral
2021/10/4,54,Neutral
2021/10/5,59,Greed
2021/10/6,68,Greed
2021/10/7,76,Extreme Greed
2021/10/8,74,Greed
2021/10/9,72,Greed
2021/10/10,71,Greed
2021/10/11,71,Greed
2021/10/12,78,Extreme Greed
2021/10/13,70,Greed
2021/10/14,70,Greed
2021/10/15,71,Greed
2021/10/16,78,Extreme Greed
2021/10/17,79,Extreme Greed
2021/10/18,78,Extreme Greed
2021/10/19,75,Greed
2021/10/20,82,Extreme Greed
2021/10/21,84,Extreme Greed
2021/10/22,75,Greed
2021/10/23,74,Greed
2021/10/24,73,Greed
2021/10/25,72,Greed
2021/10/26,76,Extreme Greed
2021/10/27,73,Greed
2021/10/28,66,Greed
2021/10/29,70,Greed
2021/10/30,73,Greed
2021/10/31,74,Greed
2021/11/1,74,Greed
2021/11/2,73,Greed
2021/11/3,76,Extreme Greed
2021/11/4,73,Greed
2021/11/5,73,Greed
2021/11/6,71,Greed
2021/11/7,73,Greed
2021/11/8,75,Greed
2021/11/9,84,Extreme Greed
2021/11/10,75,Greed
2021/11/11,77,Extreme Greed
2021/11/12,74,Greed
2021/11/13,72,Greed
2021/11/14,74,Greed
2021/11/15,72,Greed
2021/11/16,71,Greed
2021/11/17,52,Neutral
2021/11/18,54,Neutral
2021/11/19,34,Fear
2021/11/20,43,Fear
2021/11/21,49,Neutral
2021/11/22,50,Neutral
2021/11/23,33,Fear
2021/11/24,42,Fear
2021/11/25,32,Fear
2021/11/26,47,Neutral
2021/11/27,21,Extreme Fear
2021/11/28,27,Fear
2021/11/29,33,Fear
2021/11/30,40,Fear
2021/12/1,34,Fear
2021/12/2,32,Fear
2021/12/3,31,Fear
2021/12/4,25,Extreme Fear
2021/12/5,18,Extreme Fear
2021/12/6,16,Extreme Fear
2021/12/7,25,Extreme Fear
2021/12/8,28,Fear
2021/12/9,29,Fear
2021/12/10,24,Extreme Fear
2021/12/11,16,Extreme Fear
2021/12/12,27,Fear
2021/12/13,28,Fear
2021/12/14,21,Extreme Fear
2021/12/15,28,Fear
2021/12/16,29,Fear
2021/12/17,23,Extreme Fear
2021/12/18,24,Extreme Fear
2021/12/19,29,Fear
2021/12/20,25,Extreme Fear
2021/12/21,27,Fear
2021/12/22,45,Fear
2021/12/23,34,Fear
2021/12/24,41,Fear
2021/12/25,39,Fear
2021/12/26,37,Fear
2021/12/27,40,Fear
2021/12/28,41,Fear
2021/12/29,27,Fear
2021/12/30,22,Extreme Fear
2021/12/31,28,Fear
2022/1/1,21,Extreme Fear
2022/1/2,29,Fear
2022/1/3,29,Fear
2022/1/4,23,Extreme Fear
2022/1/5,24,Extreme Fear
2022/1/6,15,Extreme Fear
2022/1/7,18,Extreme Fear
2022/1/8,10,Extreme Fear
2022/1/9,23,Extreme Fear
2022/1/10,23,Extreme Fear
2022/1/11,21,Extreme Fear
2022/1/12,22,Extreme Fear
2022/1/13,21,Extreme Fear
2022/1/14,21,Extreme Fear
2022/1/15,23,Extreme Fear
2022/1/16,21,Extreme Fear
2022/1/17,22,Extreme Fear
2022/1/18,24,Extreme Fear
2022/1/19,24,Extreme Fear
2022/1/20,24,Extreme Fear
2022/1/21,19,Extreme Fear
2022/1/22,13,Extreme Fear
2022/1/23,11,Extreme Fear
2022/1/24,13,Extreme Fear
2022/1/25,12,Extreme Fear
2022/1/26,23,Extreme Fear
2022/1/27,20,Extreme Fear
2022/1/28,24,Extreme Fear
2022/1/29,24,Extreme Fear
2022/1/30,29,Fear
2022/1/31,20,Extreme Fear
2022/2/1,26,Fear
2022/2/2,28,Fear
2022/2/3,20,Extreme Fear
2022/2/4,20,Extreme Fear
2022/2/5,33,Fear
2022/2/6,37,Fear
2022/2/7,45,Fear
2022/2/8,48,Neutral
2022/2/9,54,Neutral
2022/2/10,50,Neutral
2022/2/11,50,Neutral
2022/2/12,44,Fear
2022/2/13,44,Fear
2022/2/14,46,Fear
2022/2/15,46,Fear
2022/2/16,51,Neutral
2022/2/17,52,Neutral
2022/2/18,30,Fear
2022/2/19,25,Extreme Fear
2022/2/20,27,Fear
2022/2/21,25,Extreme Fear
2022/2/22,20,Extreme Fear
2022/2/23,25,Extreme Fear
2022/2/24,23,Extreme Fear
2022/2/25,27,Fear
2022/2/26,26,Fear
2022/2/27,26,Fear
2022/2/28,20,Extreme Fear
2022/3/1,51,Neutral
2022/3/2,52,Neutral
2022/3/3,39,Fear
2022/3/4,33,Fear
2022/3/5,22,Extreme Fear
2022/3/6,22,Extreme Fear
2022/3/7,23,Extreme Fear
2022/3/8,21,Extreme Fear
2022/3/9,22,Extreme Fear
2022/3/10,28,Fear
2022/3/11,22,Extreme Fear
2022/3/12,22,Extreme Fear
2022/3/13,21,Extreme Fear
2022/3/14,23,Extreme Fear
2022/3/15,21,Extreme Fear
2022/3/16,24,Extreme Fear
2022/3/17,27,Fear
2022/3/18,25,Extreme Fear
2022/3/19,28,Fear
2022/3/20,31,Fear
2022/3/21,30,Fear
2022/3/22,26,Fear
2022/3/23,31,Fear
2022/3/24,40,Fear
2022/3/25,47,Neutral
2022/3/26,51,Neutral
2022/3/27,49,Neutral
2022/3/28,60,Greed
2022/3/29,56,Greed
2022/3/30,55,Greed
2022/3/31,52,Neutral
2022/4/1,50,Neutral
2022/4/2,52,Neutral
2022/4/3,48,Neutral
2022/4/4,52,Neutral
2022/4/5,53,Neutral
2022/4/6,48,Neutral
2022/4/7,34,Fear
2022/4/8,37,Fear
2022/4/9,30,Fear
2022/4/10,34,Fear
2022/4/11,32,Fear
2022/4/12,20,Extreme Fear
2022/4/13,25,Extreme Fear
2022/4/14,28,Fear
2022/4/15,22,Extreme Fear
2022/4/16,28,Fear
2022/4/17,28,Fear
2022/4/18,24,Extreme Fear
2022/4/19,27,Fear
2022/4/20,27,Fear
2022/4/21,27,Fear
2022/4/22,26,Fear
2022/4/23,24,Extreme Fear
2022/4/24,24,Extreme Fear
2022/4/25,23,Extreme Fear
2022/4/26,27,Fear
2022/4/27,21,Extreme Fear
2022/4/28,24,Extreme Fear
2022/4/29,23,Extreme Fear
2022/4/30,20,Extreme Fear
2022/5/1,22,Extreme Fear
2022/5/2,28,Fear
2022/5/3,27,Fear
2022/5/4,21,Extreme Fear
2022/5/5,27,Fear
2022/5/6,22,Extreme Fear
2022/5/7,23,Extreme Fear
2022/5/8,18,Extreme Fear
2022/5/9,11,Extreme Fear
2022/5/10,10,Extreme Fear
2022/5/11,12,Extreme Fear
2022/5/12,12,Extreme Fear
2022/5/13,10,Extreme Fear
2022/5/14,9,Extreme Fear
2022/5/15,10,Extreme Fear
2022/5/16,14,Extreme Fear
2022/5/17,8,Extreme Fear
2022/5/18,12,Extreme Fear
2022/5/19,13,Extreme Fear
2022/5/20,13,Extreme Fear
2022/5/21,13,Extreme Fear
2022/5/22,14,Extreme Fear
2022/5/23,10,Extreme Fear
2022/5/24,12,Extreme Fear
2022/5/25,11,Extreme Fear
2022/5/26,12,Extreme Fear
2022/5/27,12,Extreme Fear
2022/5/28,13,Extreme Fear
2022/5/29,14,Extreme Fear
2022/5/30,10,Extreme Fear
2022/5/31,16,Extreme Fear
2022/6/1,17,Extreme Fear
2022/6/2,13,Extreme Fear
2022/6/3,10,Extreme Fear
2022/6/4,14,Extreme Fear
2022/6/5,10,Extreme Fear
2022/6/6,13,Extreme Fear
2022/6/7,15,Extreme Fear
2022/6/8,17,Extreme Fear
2022/6/9,11,Extreme Fear
2022/6/10,13,Extreme Fear
2022/6/11,12,Extreme Fear
2022/6/12,14,Extreme Fear
2022/6/13,11,Extreme Fear
2022/6/14,8,Extreme Fear
2022/6/15,7,Extreme Fear
2022/6/16,7,Extreme Fear
2022/6/17,9,Extreme Fear
2022/6/18,6,Extreme Fear
2022/6/19,6,Extreme Fear
2022/6/20,9,Extreme Fear
2022/6/21,9,Extreme Fear
2022/6/22,11,Extreme Fear
2022/6/23,11,Extreme Fear
2022/6/24,11,Extreme Fear
2022/6/25,14,Extreme Fear
2022/6/26,14,Extreme Fear
2022/6/27,12,Extreme Fear
2022/6/28,10,Extreme Fear
2022/6/29,13,Extreme Fear
2022/6/30,11,Extreme Fear
2022/7/1,11,Extreme Fear
2022/7/2,14,Extreme Fear
2022/7/3,11,Extreme Fear
2022/7/4,14,Extreme Fear
2022/7/5,19,Extreme Fear
2022/7/6,18,Extreme Fear
2022/7/7,18,Extreme Fear
2022/7/8,20,Extreme Fear
2022/7/9,24,Extreme Fear
2022/7/10,24,Extreme Fear
2022/7/11,22,Extreme Fear
2022/7/12,16,Extreme Fear
2022/7/13,15,Extreme Fear
2022/7/14,18,Extreme Fear
2022/7/15,15,Extreme Fear
2022/7/16,21,Extreme Fear
2022/7/17,24,Extreme Fear
2022/7/18,20,Extreme Fear
2022/7/19,30,Fear
2022/7/20,31,Fear
2022/7/21,34,Fear
2022/7/22,33,Fear
2022/7/23,31,Fear
2022/7/24,30,Fear
2022/7/25,30,Fear
2022/7/26,26,Fear
2022/7/27,28,Fear
2022/7/28,32,Fear
2022/7/29,39,Fear
2022/7/30,42,Fear
2022/7/31,39,Fear
2022/8/1,33,Fear
2022/8/2,31,Fear
2022/8/3,34,Fear
2022/8/4,30,Fear
2022/8/5,31,Fear
2022/8/6,31,Fear
2022/8/7,30,Fear
2022/8/8,30,Fear
2022/8/9,42,Fear
2022/8/10,31,Fear
2022/8/11,41,Fear
2022/8/12,42,Fear
2022/8/13,46,Fear
2022/8/14,47,Neutral
2022/8/15,45,Fear
2022/8/16,44,Fear
2022/8/17,41,Fear
2022/8/18,30,Fear
2022/8/19,33,Fear
2022/8/20,29,Fear
2022/8/21,27,Fear
2022/8/22,29,Fear
2022/8/23,28,Fear
2022/8/24,25,Extreme Fear
2022/8/25,25,Extreme Fear
2022/8/26,27,Fear
2022/8/27,28,Fear
2022/8/28,28,Fear
2022/8/29,24,Extreme Fear
2022/8/30,27,Fear
2022/8/31,23,Extreme Fear
2022/9/1,20,Extreme Fear
2022/9/2,25,Extreme Fear
2022/9/3,21,Extreme Fear
2022/9/4,20,Extreme Fear
2022/9/5,23,Extreme Fear
2022/9/6,22,Extreme Fear
2022/9/7,24,Extreme Fear
2022/9/8,20,Extreme Fear
2022/9/9,22,Extreme Fear
2022/9/10,28,Fear
2022/9/11,26,Fear
2022/9/12,25,Extreme Fear
2022/9/13,34,Fear
2022/9/14,27,Fear
2022/9/15,28,Fear
2022/9/16,20,Extreme Fear
2022/9/17,22,Extreme Fear
2022/9/18,27,Fear
2022/9/19,21,Extreme Fear
2022/9/20,23,Extreme Fear
2022/9/21,23,Extreme Fear
2022/9/22,22,Extreme Fear
2022/9/23,20,Extreme Fear
2022/9/24,24,Extreme Fear
2022/9/25,24,Extreme Fear
2022/9/26,21,Extreme Fear
2022/9/27,20,Extreme Fear
2022/9/28,20,Extreme Fear
2022/9/29,22,Extreme Fear
2022/9/30,21,Extreme Fear
2022/10/1,20,Extreme Fear
2022/10/2,24,Extreme Fear
2022/10/3,24,Extreme Fear
2022/10/4,20,Extreme Fear
2022/10/5,25,Extreme Fear
2022/10/6,26,Fear
2022/10/7,23,Extreme Fear
2022/10/8,24,Extreme Fear
2022/10/9,22,Extreme Fear
2022/10/10,22,Extreme Fear
2022/10/11,24,Extreme Fear
2022/10/12,20,Extreme Fear
2022/10/13,20,Extreme Fear
2022/10/14,24,Extreme Fear
2022/10/15,24,Extreme Fear
2022/10/16,24,Extreme Fear
2022/10/17,20,Extreme Fear
2022/10/18,22,Extreme Fear
2022/10/19,23,Extreme Fear
2022/10/20,23,Extreme Fear
2022/10/21,23,Extreme Fear
2022/10/22,20,Extreme Fear
2022/10/23,23,Extreme Fear
2022/10/24,22,Extreme Fear
2022/10/25,20,Extreme Fear
2022/10/26,33,Fear
2022/10/27,32,Fear
2022/10/28,30,Fear
2022/10/29,34,Fear
2022/10/30,34,Fear
2022/10/31,31,Fear
2022/11/1,30,Fear
2022/11/2,30,Fear
2022/11/3,30,Fear
2022/11/4,30,Fear
2022/11/5,38,Fear
2022/11/6,40,Fear
2022/11/7,33,Fear
2022/11/8,31,Fear
2022/11/9,29,Fear
2022/11/10,22,Extreme Fear
2022/11/11,25,Extreme Fear
2022/11/12,21,Extreme Fear
2022/11/13,22,Extreme Fear
2022/11/14,24,Extreme Fear
2022/11/15,22,Extreme Fear
2022/11/16,23,Extreme Fear
2022/11/17,20,Extreme Fear
2022/11/18,23,Extreme Fear
2022/11/19,23,Extreme Fear
2022/11/20,24,Extreme Fear
2022/11/21,21,Extreme Fear
2022/11/22,22,Extreme Fear
2022/11/23,22,Extreme Fear
2022/11/24,20,Extreme Fear
2022/11/25,20,Extreme Fear
2022/11/26,22,Extreme Fear
2022/11/27,26,Fear
2022/11/28,28,Fear
2022/11/29,26,Fear
2022/11/30,29,Fear
2022/12/1,27,Fear
2022/12/2,27,Fear
2022/12/3,27,Fear
2022/12/4,26,Fear
2022/12/5,26,Fear
2022/12/6,25,Extreme Fear
2022/12/7,29,Fear
2022/12/8,25,Extreme Fear
2022/12/9,26,Fear
2022/12/10,27,Fear
2022/12/11,26,Fear
2022/12/12,27,Fear
2022/12/13,27,Fear
2022/12/14,30,Fear
2022/12/15,31,Fear
2022/12/16,29,Fear
2022/12/17,28,Fear
2022/12/18,26,Fear
2022/12/19,29,Fear
2022/12/20,29,Fear
2022/12/21,26,Fear
2022/12/22,28,Fear
2022/12/23,27,Fear
2022/12/24,29,Fear
2022/12/25,29,Fear
2022/12/26,28,Fear
2022/12/27,27,Fear
2022/12/28,28,Fear
2022/12/29,28,Fear
2022/12/30,28,Fear
2022/12/31,25,Extreme Fear
2023/1/1,26,Fear
2023/1/2,27,Fear
2023/1/3,26,Fear
2023/1/4,29,Fear
2023/1/5,29,Fear
2023/1/6,26,Fear
2023/1/7,25,Extreme Fear
2023/1/8,25,Extreme Fear
2023/1/9,25,Extreme Fear
2023/1/10,26,Fear
2023/1/11,26,Fear
2023/1/12,30,Fear
2023/1/13,31,Fear
2023/1/14,46,Fear
2023/1/15,52,Neutral
2023/1/16,45,Fear
2023/1/17,51,Neutral
2023/1/18,52,Neutral
2023/1/19,45,Fear
2023/1/20,51,Neutral
2023/1/21,53,Neutral
2023/1/22,53,Neutral
2023/1/23,50,Neutral
2023/1/24,52,Neutral
2023/1/25,51,Neutral
2023/1/26,54,Neutral
2023/1/27,55,Greed
2023/1/28,52,Neutral
2023/1/29,55,Greed
2023/1/30,61,Greed
2023/1/31,51,Neutral
2023/2/1,56,Greed
2023/2/2,60,Greed
2023/2/3,60,Greed
2023/2/4,58,Greed
2023/2/5,58,Greed
2023/2/6,56,Greed
2023/2/7,54,Neutral
2023/2/8,58,Greed
2023/2/9,55,Greed
2023/2/10,48,Neutral
2023/2/11,49,Neutral
2023/2/12,50,Neutral
2023/2/13,48,Neutral
2023/2/14,50,Neutral
2023/2/15,53,Neutral
2023/2/16,62,Greed
2023/2/17,61,Greed
2023/2/18,60,Greed
2023/2/19,60,Greed
2023/2/20,58,Greed
2023/2/21,60,Greed
2023/2/22,59,Greed
2023/2/23,56,Greed
2023/2/24,53,Neutral
2023/2/25,52,Neutral
2023/2/26,51,Neutral
2023/2/27,50,Neutral
2023/2/28,53,Neutral
2023/3/1,50,Neutral
2023/3/2,51,Neutral
2023/3/3,50,Neutral
2023/3/4,50,Neutral
2023/3/5,47,Neutral
2023/3/6,48,Neutral
2023/3/7,49,Neutral
2023/3/8,50,Neutral
2023/3/9,44,Fear
2023/3/10,34,Fear
2023/3/11,33,Fear
2023/3/12,33,Fear
2023/3/13,49,Neutral
2023/3/14,56,Greed
2023/3/15,50,Neutral
2023/3/16,52,Neutral
2023/3/17,51,Neutral
2023/3/18,64,Greed
2023/3/19,63,Greed
2023/3/20,66,Greed
2023/3/21,68,Greed
2023/3/22,62,Greed
2023/3/23,57,Greed
2023/3/24,61,Greed
2023/3/25,64,Greed
2023/3/26,64,Greed
2023/3/27,64,Greed
2023/3/28,59,Greed
2023/3/29,57,Greed
2023/3/30,60,Greed
2023/3/31,63,Greed
2023/4/1,61,Greed
2023/4/2,63,Greed
2023/4/3,63,Greed
2023/4/4,62,Greed
2023/4/5,62,Greed
2023/4/6,63,Greed
2023/4/7,64,Greed
2023/4/8,61,Greed
2023/4/9,61,Greed
2023/4/10,62,Greed
2023/4/11,68,Greed
2023/4/12,65,Greed
2023/4/13,61,Greed
2023/4/14,68,Greed
2023/4/15,68,Greed
2023/4/16,68,Greed
2023/4/17,69,Greed
2023/4/18,58,Greed
2023/4/19,63,Greed
2023/4/20,52,Neutral
2023/4/21,50,Neutral
2023/4/22,53,Neutral
2023/4/23,56,Greed
2023/4/24,53,Neutral
2023/4/25,53,Neutral
2023/4/26,56,Greed
2023/4/27,59,Greed
2023/4/28,64,Greed
2023/4/29,64,Greed
2023/4/30,60,Greed
2023/5/1,63,Greed
2023/5/2,55,Greed
2023/5/3,64,Greed
2023/5/4,64,Greed
2023/5/5,61,Greed
2023/5/6,60,Greed
2023/5/7,64,Greed
2023/5/8,60,Greed
2023/5/9,51,Neutral
2023/5/10,52,Neutral
2023/5/11,52,Neutral
2023/5/12,49,Neutral
2023/5/13,48,Neutral
2023/5/14,48,Neutral
2023/5/15,50,Neutral
2023/5/16,54,Neutral
2023/5/17,50,Neutral
2023/5/18,51,Neutral
2023/5/19,48,Neutral
2023/5/20,48,Neutral
2023/5/21,52,Neutral
2023/5/22,49,Neutral
2023/5/23,50,Neutral
2023/5/24,50,Neutral
2023/5/25,51,Neutral
2023/5/26,49,Neutral
2023/5/27,48,Neutral
2023/5/28,50,Neutral
2023/5/29,52,Neutral
2023/5/30,51,Neutral
2023/5/31,51,Neutral
2023/6/1,52,Neutral
2023/6/2,50,Neutral
2023/6/3,53,Neutral
2023/6/4,52,Neutral
2023/6/5,53,Neutral
2023/6/6,44,Fear
2023/6/7,53,Neutral
2023/6/8,50,Neutral
2023/6/9,50,Neutral
2023/6/10,49,Neutral
2023/6/11,47,Neutral
2023/6/12,47,Neutral
2023/6/13,45,Fear
2023/6/14,46,Fear
2023/6/15,41,Fear
2023/6/16,47,Neutral
2023/6/17,47,Neutral
2023/6/18,49,Neutral
2023/6/19,47,Neutral
2023/6/20,49,Neutral
2023/6/21,59,Greed
2023/6/22,65,Greed
2023/6/23,65,Greed
2023/6/24,62,Greed
2023/6/25,64,Greed
2023/6/26,55,Greed
2023/6/27,59,Greed
2023/6/28,62,Greed
2023/6/29,54,Neutral
2023/6/30,56,Greed
2023/7/1,59,Greed
2023/7/2,63,Greed
2023/7/3,62,Greed
2023/7/4,64,Greed
2023/7/5,61,Greed
2023/7/6,56,Greed
2023/7/7,55,Greed
2023/7/8,58,Greed
2023/7/9,55,Greed
2023/7/10,56,Greed
2023/7/11,57,Greed
2023/7/12,64,Greed
2023/7/13,57,Greed
2023/7/14,60,Greed
2023/7/15,56,Greed
2023/7/16,57,Greed
2023/7/17,54,Neutral
2023/7/18,56,Greed
2023/7/19,50,Neutral
2023/7/20,56,Greed
2023/7/21,50,Neutral
2023/7/22,52,Neutral
2023/7/23,54,Neutral
2023/7/24,55,Greed
2023/7/25,50,Neutral
2023/7/26,51,Neutral
2023/7/27,51,Neutral
2023/7/28,52,Neutral
2023/7/29,52,Neutral
2023/7/30,52,Neutral
2023/7/31,50,Neutral
2023/8/1,53,Neutral
2023/8/2,53,Neutral
2023/8/3,52,Neutral
2023/8/4,54,Neutral
2023/8/5,50,Neutral
2023/8/6,49,Neutral
2023/8/7,49,Neutral
2023/8/8,54,Neutral
2023/8/9,50,Neutral
2023/8/10,53,Neutral
2023/8/11,51,Neutral
2023/8/12,54,Neutral
2023/8/13,54,Neutral
2023/8/14,50,Neutral
2023/8/15,53,Neutral
2023/8/16,52,Neutral
2023/8/17,50,Neutral
2023/8/18,37,Fear
2023/8/19,39,Fear
2023/8/20,37,Fear
2023/8/21,38,Fear
2023/8/22,37,Fear
2023/8/23,37,Fear
2023/8/24,41,Fear
2023/8/25,39,Fear
2023/8/26,38,Fear
