Date,ETH,BTC,XRP,USDT,USDC,BNB,DOGE,ADA,TRX,SOL,LTC,IOTA,BCH,XTZ,XLM
2020-08-10,0.0136020811084131,0.0212388097500275,0.0242696156528392,0.0157841767497499,0.0131856989646165,0.0173427669585643,0.0216552087248502,0.0165122407833008,0.0266125994299746,0.17706942309226,0.0338097725210893,0.0528489475399248,0.0648436687864993,0.137189033712036,0.030944305764
2020-08-11,0.0442562249901125,0.0363600817179388,0.0718350307033066,0.00864515203362504,0.00493938176751313,0.0453605017923547,0.0414024954267116,0.0506127643438057,0.0481176438163783,0.170831888240562,0.076132249879298,0.115738641827516,0.0775812337206006,0.111624687353035,0.0763347667957423
2020-08-12,0.0447027720643643,0.0286016422205118,0.0415633148556998,0.019210703416044,0.0070522040599157,0.0507703582045975,0.0354971485616384,0.0964827189263356,0.0576056564223561,0.137110852167097,0.0536796549893132,0.0963398509384713,0.0515899758591259,0.145951133887544,0.0577816654843468
2020-08-13,0.0670482528597384,0.0403253544274814,0.0562120279871315,0.0188484155156089,0.00852380061259062,0.0549609434306271,0.0411430303614656,0.0460328173426361,0.0901315276798006,0.118255953612479,0.0708756180097511,0.0706862994534932,0.0549002364041194,0.0860694962624586,0.0508120828746134
2020-08-14,0.031648879904143,0.0326128095238549,0.0291970274001721,0.0195888446704895,0.009308298915304,0.0422596054574353,0.0188438504823393,0.0165307460005727,0.0714579084860162,0.059864173880195,0.0250816406618928,0.0573463903758016,0.0278105521885362,0.0390152815732218,0.0424813533159474
2020-08-15,0.0180546213155456,0.0115823671737432,0.0220079823842693,0.00944890988749736,0.00472761933892299,0.0356971745274181,0.0207672693616449,0.0181560358744172,0.052581614541996,0.11771625408434,0.038940211303329,0.0801900772531031,0.0381205676006643,0.0738874185224466,0.0388010824616008
2020-08-16,0.0439970985877159,0.0128365448306778,0.0243738954513887,0.00786309520382951,0.00572389515617907,0.0251780288401248,0.0185871913493371,0.0153639435972289,0.080874459679834,0.056980424087021,0.0659421904854447,0.0814335760171749,0.0454767956980519,0.0590220989048731,0.0618842496475821
2020-08-17,0.0321314456806959,0.0245838507250847,0.0535088318938486,0.0160462244688976,0.00574816817526341,0.0233063955470081,0.0451431421376417,0.0301029366478626,0.0892226579856062,0.0180306622998132,0.0745856128007899,0.035321769147967,0.049563856408899,0.0220070280510918,0.0593622884941248
2020-08-18,0.0190668838202424,0.0163834211486217,0.0355522165914405,0.00885254728109863,0.00667342059767765,0.0326788249647804,0.0446272766632538,0.0310641632854626,0.0914797996383998,0.170501196713687,0.051118684498599,0.0686644544673555,0.0430447649789529,0.0783399729475736,0.0593382999071208
2020-08-19,0.0446020872374894,0.0150752994812917,0.0478712676421497,0.00820225561051519,0.005634369677354,0.0313084172107287,0.0308302286904697,0.0294432799080505,0.0663136633692522,0.108440459534956,0.0899223505856204,0.0715461318183747,0.0652577825380123,0.093620207535773,0.0665933355506137
2020-08-20,0.0190643649614407,0.00918213562548844,0.0199146265938227,0.00306374439097292,0.00293880375576389,0.027695303818473,0.0212182437821625,0.0254305861571863,0.0196053980611574,0.107074553859632,0.0294020037891917,0.0361598675665591,0.0189957379967147,0.0717156441157878,0.034584155711572
2020-08-21,0.0273164803381206,0.0104931185965289,0.0244710229155301,0.00814835449383176,0.00433340811961748,0.0355761242206291,0.0361429755344089,0.024696014417054,0.0382106498542529,0.0370189379405061,0.0425451976608595,0.13183941691509,0.0554766715007187,0.067884150974076,0.048697178241253
2020-08-22,0.0238527417580305,0.0156492737978863,0.0253977214198359,0.00731001269398217,0.00418246262137826,0.0327029184968051,0.0177518629918056,0.0368703128606176,0.0521995153251053,0.102833582789228,0.03366190111394,0.0501565718957438,0.0320410284963243,0.0669125418932913,0.0382409963852274
2020-08-23,0.0217033198099598,0.0102531685045156,0.0253068948067215,0.00433568393578519,0.00219916606105172,0.0183780404627358,0.0127062396013678,0.0218568074923751,0.0384679094225846,0.0541829017390727,0.0448025490666285,0.0451450348281353,0.0258865374801786,0.0570930265085598,0.0419408831887315
2020-08-24,0.0205087550130547,0.0089048953860198,0.0176990115115397,0.00435652250434021,0.00289725176839145,0.0273188633016838,0.0168806223675737,0.026938297928483,0.0396201218191629,0.0862532582966136,0.0309375219291654,0.0416102595017493,0.0289943328730805,0.0640939672169418,0.0421129135242268
