Date,ETH,BTC,XRP,USDT,USDC,BNB,DOGE,ADA,TRX,SOL,LTC,IOTA,BCH,XTZ,XLM
2020-08-10,0.0126655304108883,0.0194002859745859,0.0221384657178486,0.011485841676204,0.00991908753337827,0.0151425341338936,0.0176472131969215,0.0153613290789415,0.0362433372956948,0.178108123832452,0.031337127909288,0.0726195038244248,0.0515267812351676,0.139726442382007,0.0247760179414348
2020-08-11,0.0431372650208055,0.0382874996752519,0.0645899130475409,0.00747927106744369,0.00387149413506469,0.0531385144804982,0.0390845365986979,0.0489380639916477,0.0545583985689604,0.141724602075342,0.0783705185784363,0.0969845937949291,0.0757077710102045,0.100066210806771,0.0729132020585492
2020-08-12,0.0370129823423814,0.0260545690877338,0.0333523032933333,0.0173426289202704,0.00610818533377708,0.044128744796964,0.0337276158400202,0.0641267262362468,0.0444124905531681,0.139587687420138,0.0394506569451199,0.0756233885341425,0.0422628024080016,0.12543174440234,0.0432306209071794
2020-08-13,0.0787379420307726,0.0302532842062118,0.0500176145707196,0.015050393284614,0.00677620363430757,0.0391735588627671,0.0319726242753299,0.0413230287988873,0.0983959763872434,0.0982697150460879,0.0599076879001761,0.0605055907846403,0.0480587542686862,0.0789578468272639,0.0372035791360111
2020-08-14,0.0293887653950875,0.0234615696439478,0.0250595749381218,0.0202929355222033,0.00853445151156115,0.0444175198913167,0.0175371372528643,0.0186207587045879,0.0775738054839601,0.077229931264389,0.0214527822276054,0.0662395960755482,0.0224855583358891,0.0333410885127451,0.0414104238698342
2020-08-15,0.0163718971160921,0.00984457940044664,0.0186415269649977,0.00713006653096655,0.00403064670919099,0.0251051672703764,0.0180849398877903,0.0142516958669762,0.0427341409585035,0.0969359052482183,0.0452733976245331,0.0693448299518228,0.0363382591004783,0.0629665869484955,0.0354855550224595
2020-08-16,0.0298872087025116,0.0100321901129853,0.0196001979412107,0.00636771081054799,0.00482269641977618,0.0242674277855691,0.0141999319928445,0.0119156931331609,0.0946884701550965,0.0603852095248768,0.0667978013811977,0.0687023227904768,0.0399031806207224,0.0550386093121339,0.0665844191608997
2020-08-17,0.0278860933423794,0.0274590232829741,0.0496548186534268,0.0119397267236128,0.00493669685725772,0.019712081764538,0.0362876282646218,0.0243222097487081,0.0870617637732553,0.0553298182564396,0.0696252833625891,0.0338311631527183,0.0460520514292324,0.0351727165976951,0.0509046040420217
2020-08-18,0.0181906928835614,0.0188505153673934,0.035842655775177,0.00732453827780172,0.00589891875543287,0.0287047352956229,0.0377562812138737,0.0298945857931851,0.0767658570281056,0.149074462067682,0.0456087610184963,0.0616035625990241,0.0460347370608476,0.0734423761032481,0.0590519288077296
2020-08-19,0.0442709827262037,0.0173012447721827,0.0471405337218963,0.00659226205492305,0.00433293882645332,0.0329785029380017,0.0295731170257359,0.0443345659826846,0.0723523872053297,0.123117517374061,0.0804621412453154,0.0685831354890511,0.0577837590456811,0.0838637818943316,0.0638184935242505
2020-08-20,0.021474539296243,0.00968365916863594,0.0166066786827764,0.00278170562538479,0.00251579930301474,0.0302083605373182,0.0190061585349824,0.028596456870587,0.0281434550342075,0.101906530545603,0.0258221363419199,0.051232589408047,0.0157913727605018,0.0703472607755365,0.0401448739182687
2020-08-21,0.0465090176245134,0.0171127940527278,0.0318412615813608,0.00719550649705658,0.00402585543798959,0.0397877635387982,0.0285499971735895,0.0502206980520066,0.080908926074742,0.0606293426795211,0.0502596704392514,0.104372992144198,0.0498024043613434,0.0969288669526924,0.06086398275854
2020-08-22,0.02104418390383,0.0124902621636193,0.0227462700360262,0.00623727411002033,0.00371286789710129,0.0214002245080223,0.0164257258025477,0.0278898897786609,0.046695687416421,0.0884524970895502,0.0282310663943328,0.0651030305391049,0.0252348691740582,0.0639222819419344,0.0338798521911635
2020-08-23,0.0175995545780017,0.00792260314193412,0.0179235718384912,0.00366859966132152,0.0018607687573101,0.0167563899217587,0.0114128551451231,0.0252058728321609,0.0340303995086457,0.0720117105705694,0.0363539848827484,0.0469798295424248,0.0203024743568079,0.0453969573151043,0.0283237649217266
2020-08-24,0.0301944200857768,0.00945204401500485,0.0171368111752846,0.00358368759968885,0.00253638295228739,0.0301996220248044,0.0138509764117528,0.0264090948335719,0.0377924172353265,0.0674245818499137,0.0296971550639693,0.0370098079074872,0.0273337022212187,0.0603521762159878,0.0352997324512405
2020-08-25,0.0524618532621799,0.0307797640987755,0.0347065353297127,0.00871136925702055,0.00403676230703393,0.040600939987222,0.0351094975486564,0.083763039515487,0.0739355063483677,0.0622238980138351,0.0575289072771543,0.0708503688602181,0.0502557598062755,0.070636617415842,0.0486823072566461
2020-08-26,0.0205264094520044,0.0122636455492672,0.011383685388793,0.00311942990071648,0.00177756362547377,0.0315186068123312,0.017118430667513,0.0342200935614103,0.0266674822576735,0.103535803189703,0.0215174118594486,0.0333495725319793,0.0174721036624912,0.0378156015469806,0.0272751308303638
2020-08-27,0.0319495291437453,0.0203144190079418,0.0474580115357068,0.00652895717355111,0.00209246047501269,0.0324928283688966,0.0276275728614382,0.0638135642349249,0.0546118951692317,0.0947292157206979,0.0566215108729742,0.0689680040644313,0.0427421593356961,0.0595895812963879,0.0544430527658909
2020-08-28,0.0254187568427996,0.0120416792538705,0.0269494412071725,0.00319990310074897,0.00170691781904478,0.0213992200105154,0.0165669685710413,0.0244438240893427,0.0369987667120155,0.13407993962988,0.0311953856965347,0.0384210829161176,0.0244765382896459,0.0340671417249822,0.0266593178024621
2020-08-29,0.018919471036135,0.00621867248706076,0.0162538049151395,0.00299739065992695,0.00219499348975413,0.0177175840651277,0.0108311360672103,0.0470496014579392,0.0342569953959427,0.0484416775079904,0.0130437149785669,0.0443945863897475,0.0155749448322517,0.0416501073107413,0.0190312574529823
2020-08-30,0.0421523941245893,0.0115357570575642,0.0198930160174526,0.00395927726468414,0.00492452014822815,0.0224080226187954,0.0127050141954651,0.0211473320121777,0.0713204321728961,0.10975656728319,0.0603674018378153,0.0298212212030229,0.0262119040261368,0.0202714863411229,0.0149391824109442
2020-08-31,0.0262985992638465,0.00876722192940171,0.0124858148678348,0.00411658014817449,0.004466526682665,0.0219748071651603,0.0191841930011667,0.0640688113946197,0.082172387801001,0.102306933424607,0.0308543855594335,0.0277307524434752,0.0188130978092077,0.0415420099569392,0.0250244230918855
2020-09-01,0.0721215264208846,0.0236493544768762,0.0411672374462016,0.00492647293989191,0.005781195047115,0.0600420570775049,0.0161395973079321,0.0356542246681164,0.137337219318538,0.0777176037004597,0.0447722209252724,0.0370854846465614,0.0627942775195564,0.0607873852089891,0.0343971123627437
2020-09-02,0.0742639642708687,0.0348224903207524,0.0715666585502048,0.0120538687928731,0.0055099944643327,0.0529953730484289,0.0381466829879493,0.072757768479572,0.0966838652978105,0.0971784123727351,0.0691224019380129,0.0885163128483933,0.114336785660131,0.11036049117671,0.0759303887696016
