tda,market,lag,p_TDA_causes_Market,p_Market_causes_TDA,TDA_causes_Market,Market_causes_TDA
log_dtw_betti0,VIX,1,0.5526889519956276,0.4648724196323829,False,False
log_dtw_betti0,VIX,3,0.5526889519956276,0.4648724196323829,False,False
log_dtw_betti0,VIX,5,0.5526889519956276,0.4648724196323829,False,False
log_dtw_betti0,VIX,7,0.5526889519956276,0.4648724196323829,False,False
log_dtw_betti0,VIX,10,0.5526889519956276,0.4648724196323829,False,False
log_dtw_betti0,VIX,14,0.5526889519956276,0.4648724196323829,False,False
log_dtw_betti0,VIX,21,0.016756429339648313,0.4648724196323829,True,False
log_dtw_betti0,BVOL,1,0.005603481502241509,0.8739434515522442,True,False
log_dtw_betti0,BVOL,3,0.005603481502241509,0.3127516477810933,True,False
log_dtw_betti0,BVOL,5,0.005603481502241509,0.20476498227368942,True,False
log_dtw_betti0,BVOL,7,0.005603481502241509,0.20476498227368942,True,False
log_dtw_betti0,BVOL,10,0.005603481502241509,0.00030498252351921927,True,True
log_dtw_betti0,BVOL,14,2.1914731346208377e-06,1.9685954226133123e-05,True,True
log_dtw_betti0,BVOL,21,1.7778285304584259e-09,1.5971137276064337e-06,True,True
log_dtw_betti0,SP500,1,0.730579232769623,0.8108600513158641,False,False
log_dtw_betti0,SP500,3,0.7130917041286597,0.8070887289294416,False,False
log_dtw_betti0,SP500,5,0.7130917041286597,0.8070887289294416,False,False
log_dtw_betti0,SP500,7,0.7130917041286597,0.8070887289294416,False,False
log_dtw_betti0,SP500,10,0.7130917041286597,0.8070887289294416,False,False
log_dtw_betti0,SP500,14,0.7130917041286597,0.8070887289294416,False,False
log_dtw_betti0,SP500,21,0.6477501622511537,0.8070887289294416,False,False
log_dtw_betti0,fng_value,1,0.5780495572904571,0.002392796753451091,False,True
log_dtw_betti0,fng_value,3,0.45192966258858924,0.002392796753451091,False,True
log_dtw_betti0,fng_value,5,0.11135120904509148,0.002392796753451091,False,True
log_dtw_betti0,fng_value,7,0.11135120904509148,0.002392796753451091,False,True
log_dtw_betti0,fng_value,10,0.11135120904509148,0.002392796753451091,False,True
log_dtw_betti0,fng_value,14,0.11135120904509148,0.002392796753451091,False,True
log_dtw_betti0,fng_value,21,0.0981560080076083,0.002392796753451091,False,True
log_dtw_betti0,vol_btc_rogers,1,0.2704017594621463,0.0007991532067109268,False,True
log_dtw_betti0,vol_btc_rogers,3,0.2704017594621463,0.00010591290074241177,False,True
log_dtw_betti0,vol_btc_rogers,5,0.2704017594621463,0.00010591290074241177,False,True
log_dtw_betti0,vol_btc_rogers,7,0.07340844436986739,6.90095222111845e-05,False,True
log_dtw_betti0,vol_btc_rogers,10,0.07340844436986739,1.4584559868039276e-07,False,True
log_dtw_betti0,vol_btc_rogers,14,4.1379047153887883e-13,1.6397087048434237e-10,True,True
log_dtw_betti0,vol_btc_rogers,21,7.527714493037164e-15,3.1719973029889435e-12,True,True
log_wass_betti0,VIX,1,0.2793470136176495,0.3670786823624165,False,False
log_wass_betti0,VIX,3,0.2793470136176495,0.3670786823624165,False,False
log_wass_betti0,VIX,5,0.2793470136176495,0.12340486979405423,False,False
log_wass_betti0,VIX,7,0.2793470136176495,0.12340486979405423,False,False
