time_index,date,vol_wass_betti0,vol_wass_betti1,vol_wass_entropy,log_wass_betti0,log_wass_betti1,log_wass_entropy,log_dtw_betti0,log_dtw_betti1,log_dtw_entropy,vol_dtw_betti0,vol_dtw_betti1,vol_dtw_entropy,SP500,VIX,BVOL,CVI,vol_btc_parkinson,vol_btc_rogers,fng_value,fng_classification,event_label,sp_ret,sp_vol7,fear&greed,vol_wass_clustering,vol_wass_degree_centrality,vol_wass_pagerank,log_wass_clustering,log_wass_degree_centrality,log_wass_pagerank,log_dtw_clustering,log_dtw_degree_centrality,log_dtw_pagerank,vol_dtw_clustering,vol_dtw_degree_centrality,vol_dtw_pagerank
10,2020-08-31,1.32,0.0,0.0,1.78,0.0,0.0,2.1,0.0,0.0,1.34,0.0,0.0,3500.31005859375,26.4099998474121,32.47,68.3376,7.686418035938216e-05,0.0102700007382321,75.0,Greed,0,-0.0021949627140273043,0.004333417737729015,75.0,0.9627929027895382,0.9628178119956778,0.1008749354931763,0.9627929027895382,0.9628178119956778,0.1008749354931763,0.5409359180261422,0.5471474170855216,0.1128554007776781,0.9070394464713476,0.9079142875934983,0.1028264022036817
11,2020-09-01,1.32,0.0,0.0,1.8,0.0,0.0,2.06,0.0,0.0,1.32,0.0,0.0,3526.64990234375,26.1200008392334,27.73,70.0088,0.0005592919671729,0.0217495636781714,75.0,Greed,0,0.007525003016613407,0.004685184080627465,75.0,0.9641689100275684,0.964170704284071,0.1008459743645665,0.9641689100275684,0.964170704284071,0.1008459743645665,0.5506021656468737,0.5566351362960107,0.1126700806338778,0.908643624406662,0.9094330472148424,0.1027430887105405
12,2020-09-02,1.32,0.0,0.0,1.74,0.0,0.0,2.12,0.0,0.0,1.32,0.0,0.0,3580.84008789062,26.5699996948242,32.0,67.3533,0.0012126058321388,0.0250891273038093,83.0,Extreme Greed,0,0.015365910154806262,0.00611957804669913,83.0,0.9635552137904488,0.9635702175338388,0.1008378107222612,0.9635552137904488,0.9635702175338388,0.1008378107222612,0.5446379175296112,0.5507883936123958,0.1131204519106849,0.90901449480824,0.9098097790988554,0.1027719524424101
13,2020-09-03,1.34,0.0,0.0,1.74,0.0,0.0,2.14,0.0,0.0,1.3,0.0,0.0,3455.06005859375,33.599998474121,32.26,70.5126,0.0049130744105725,0.0323330274624104,79.0,Extreme Greed,0,-0.03512584371533989,0.016167059808828346,79.0,0.9629530707247836,0.9629594552271248,0.1008487945203804,0.9629530707247836,0.9629594552271248,0.1008487945203804,0.538757005151199,0.5445679613445056,0.1135433893275633,0.9107951684252052,0.9114629312474436,0.1026984726900083
14,2020-09-04,1.34,0.0,0.0,1.72,0.0,0.0,2.1,0.0,0.0,1.3,0.0,0.0,3426.9599609375,30.75,41.14,73.659,0.0006887808327497,0.0257032460423513,40.0,Fear,0,-0.008133027264274895,0.015941556137886653,40.0,0.9637346883329124,0.96372788127802,0.1008431801778335,0.9637346883329124,0.96372788127802,0.1008431801778335,0.5423646972024544,0.5478598320586613,0.1128695809121746,0.9096089263376518,0.9102869905228376,0.1027110876187069
15,2020-09-05,1.34,0.0,0.0,1.7,0.0,0.0,2.18,0.0,0.0,1.32,0.0,0.0,3426.9599609375,30.75,41.14,73.659,0.0013808686673805,0.0385505181920134,41.0,Fear,0,0.0,0.015941556137886653,41.0,0.9636253725248,0.9636280254831746,0.1008603641925592,0.9636253725248,0.9636280254831746,0.1008603641925592,0.5369593949617484,0.5432663948354711,0.1132557452236272,0.9086809074216282,0.909308976650784,0.102744859655969
16,2020-09-06,1.34,0.0,0.0,1.74,0.0,0.0,2.18,0.0,0.0,1.34,0.0,0.0,3426.9599609375,30.75,41.14,73.659,0.000305598300996,0.0192240410819778,41.0,Fear,0,0.0,0.015941556137886653,41.0,0.9625251145526104,0.9625219468598004,0.1008810040062084,0.9625251145526104,0.9625219468598004,0.1008810040062084,0.5335353690251688,0.5398245420485571,0.1125067492697568,0.9079808842723436,0.9087074530460104,0.1028112065194074
17,2020-09-07,1.36,0.0,0.0,1.76,0.0,0.0,2.22,0.0,0.0,1.32,0.0,0.0,3426.9599609375,30.75,41.14,73.659,0.0008146285128934,0.0405618021650001,41.0,Fear,0,0.0,0.01598667715861165,41.0,0.9618303107380752,0.9618372398440884,0.1008576474384852,0.9618303107380752,0.9618372398440884,0.1008576474384852,0.5315976624474757,0.5390761616067239,0.1134083687783459,0.9073574297575157,0.9079577470781632,0.1028099939065769
18,2020-09-08,1.34,0.0,0.0,1.74,0.0,0.0,2.18,0.0,0.0,1.34,0.0,0.0,3331.84008789062,31.4599990844726,40.59,85.5059,0.0007679880078919,0.0299382978627822,41.0,Fear,0,-0.02775634210236244,0.01762616584500367,41.0,0.962799643345433,0.962808103652718,0.1008264613299882,0.962799643345433,0.962808103652718,0.1008264613299882,0.533289082415802,0.5405172923501281,0.113099259324588,0.9064702002069676,0.9073215518712892,0.1028375330260698
19,2020-09-09,1.34,0.0,0.0,1.74,0.0,0.0,2.2,0.0,0.0,1.32,0.0,0.0,3398.9599609375,28.8099994659423,41.73,84.2996,0.0003863792973408,0.0219053390931778,38.0,Fear,0,0.020144986336776194,0.018737320948125878,38.0,0.9627262477460666,0.9627667512349432,0.1008554334792126,0.9627262477460666,0.9627667512349432,0.1008554334792126,0.5353469712412975,0.5426309122490544,0.1133102490974774,0.9087269250222466,0.9086853671391256,0.102772971727613
20,2020-09-10,1.34,0.0,0.0,1.7,0.0,0.0,2.16,0.0,0.0,1.32,0.0,0.0,3339.18994140625,29.7099990844726,41.91,75.9582,0.000236892622855,0.0185805274552134,38.0,Fear,0,-0.01758479659017942,0.015236554745036678,38.0,0.963452358942514,0.963485795986265,0.1008409589904615,0.963452358942514,0.963485795986265,0.1008409589904615,0.537505268239816,0.5444063568219152,0.1129390254568004,0.907525432521196,0.907617178190918,0.1027809039376296
21,2020-09-11,1.34,0.0,0.0,1.72,0.0,0.0,2.22,0.0,0.0,1.32,0.0,0.0,3340.96997070312,26.8700008392334,41.32,72.6631,0.0002947612880684,0.0241700677247251,41.0,Fear,0,0.0005330721905925095,0.015268971139911386,41.0,0.9628985497911368,0.962902989224352,0.1008353357667344,0.9628985497911368,0.962902989224352,0.1008353357667344,0.5356976218029519,0.5420016694710155,0.1125476442672853,0.910109087408636,0.9099200210378536,0.1027197817859746
22,2020-09-12,1.36,0.0,0.0,1.7,0.0,0.0,2.14,0.0,0.0,1.34,0.0,0.0,3340.96997070312,26.8700008392334,41.32,72.6631,0.0002717905948843,0.019322212339071,41.0,Fear,0,0.0,0.015268971139911386,41.0,0.965340463313064,0.9653013671746976,0.1007771138196621,0.965340463313064,0.9653013671746976,0.1007771138196621,0.5493767140729935,0.555446857277641,0.1121992069751939,0.907277379982799,0.9071919983837956,0.1028272127639623
